id,date,collection_location,travel_history,new_cases,mobility,sequencing_intensity
seq_100532,2020-07-11,domestic,no_travel,501,-0.01,0.12375249500998
seq_100537,2020-07-11,domestic,no_travel,501,-0.01,0.12375249500998
seq_100552,2020-07-11,domestic,no_travel,501,-0.01,0.12375249500998
seq_100578,2020-07-11,domestic,no_travel,501,-0.01,0.12375249500998
seq_100586,2020-07-11,domestic,no_travel,501,-0.01,0.12375249500998
seq_100619,2020-07-10,domestic,travel,501,-0.01,0.12375249500998
seq_100620,2020-07-10,domestic,no_travel,501,-0.01,0.12375249500998
seq_100643,2020-07-10,domestic,travel,501,-0.01,0.12375249500998
seq_100644,2020-07-10,domestic,no_travel,501,-0.01,0.12375249500998
seq_100664,2020-07-10,domestic,no_travel,501,-0.01,0.12375249500998
seq_100670,2020-07-10,domestic,no_travel,501,-0.01,0.12375249500998
seq_100704,2020-07-10,domestic,no_travel,501,-0.01,0.12375249500998
seq_100710,2020-07-10,domestic,no_travel,501,-0.01,0.12375249500998
seq_100743,2020-07-09,domestic,no_travel,501,-0.01,0.12375249500998
seq_100751,2020-07-09,domestic,no_travel,501,-0.01,0.12375249500998
seq_10075,2020-07-09,domestic,no_travel,501,-0.01,0.12375249500998
seq_100773,2020-07-09,domestic,no_travel,501,-0.01,0.12375249500998
seq_100775,2020-07-09,domestic,no_travel,501,-0.01,0.12375249500998
seq_100793,2020-07-09,domestic,no_travel,501,-0.01,0.12375249500998
seq_10081,2020-07-09,domestic,no_travel,501,-0.01,0.12375249500998
seq_100826,2020-07-09,domestic,no_travel,501,-0.01,0.12375249500998
seq_100867,2020-07-08,domestic,no_travel,501,-0.01,0.12375249500998
seq_100871,2020-07-08,domestic,no_travel,501,-0.01,0.12375249500998
seq_100908,2020-07-08,domestic,no_travel,501,-0.01,0.12375249500998
seq_100910,2020-07-08,domestic,no_travel,501,-0.01,0.12375249500998
seq_100913,2020-07-08,domestic,no_travel,501,-0.01,0.12375249500998
seq_100929,2020-07-08,domestic,no_travel,501,-0.01,0.12375249500998
seq_100936,2020-07-08,domestic,no_travel,501,-0.01,0.12375249500998
seq_100951,2020-07-08,domestic,no_travel,501,-0.01,0.12375249500998
seq_100975,2020-07-07,domestic,travel,501,-0.01,0.12375249500998
seq_100976,2020-07-07,domestic,no_travel,501,-0.01,0.12375249500998
seq_100997,2020-07-07,domestic,no_travel,501,-0.01,0.12375249500998
seq_101002,2020-07-07,domestic,no_travel,501,-0.01,0.12375249500998
seq_101003,2020-07-07,domestic,no_travel,501,-0.01,0.12375249500998
seq_101007,2020-07-07,domestic,no_travel,501,-0.01,0.12375249500998
seq_101018,2020-07-07,domestic,no_travel,501,-0.01,0.12375249500998
seq_101032,2020-07-07,domestic,no_travel,501,-0.01,0.12375249500998
seq_101046,2020-07-07,domestic,no_travel,501,-0.01,0.12375249500998
