id,collection_location,collection_date
seq_71373,domestic,2020-04-20
seq_55639,domestic,2020-04-27
seq_117046,intl_source,2020-06-04
seq_113361,intl_source,2020-06-07
seq_69711,intl_source,2020-04-21
seq_13733,intl_source,2020-05-22
seq_94063,intl_source,2020-03-30
seq_144055,domestic,2020-05-18
seq_185,intl_source,2020-08-10
seq_102993,intl_source,2020-06-27
seq_17162,domestic,2020-05-11
seq_157984,domestic,2020-05-13
seq_145872,intl_source,2020-05-18
seq_60161,intl_source,2020-04-25
seq_123442,intl_source,2020-05-29
seq_113021,intl_source,2020-06-08
seq_136141,domestic,2020-05-22
seq_157157,intl_source,2020-05-13
seq_76089,domestic,2020-04-17
seq_83490,intl_source,2020-04-12
seq_78966,intl_source,2020-04-15
seq_110991,intl_source,2020-06-10
seq_66386,domestic,2020-04-23
seq_6480,domestic,2020-04-23
seq_63688,domestic,2020-04-24
seq_88366,intl_source,2020-04-07
seq_74676,domestic,2020-04-18
seq_38983,domestic,2020-05-04
seq_96101,intl_source,2020-03-25
seq_142521,domestic,2020-05-19
seq_66018,domestic,2020-04-23
seq_3589,intl_source,2020-05-05
seq_84480,domestic,2020-04-11
seq_91160,intl_source,2020-04-04
seq_154030,domestic,2020-05-14
seq_103628,intl_source,2020-06-25
seq_24030,intl_source,2020-05-09
seq_36704,intl_source,2020-05-04
seq_137594,intl_source,2020-05-21
seq_67572,intl_source,2020-04-22
seq_107439,Imports,2020-06-16
seq_144958,intl_source,2020-05-18
seq_24638,intl_source,2020-05-09
seq_113657,domestic,2020-06-07
seq_91982,intl_source,2020-04-03
seq_6636,domestic,2020-04-23
seq_9210,intl_source,2020-04-02
seq_79338,domestic,2020-04-15
seq_128344,domestic,2020-05-26
seq_144179,domestic,2020-05-18
seq_71386,intl_source,2020-04-20
seq_31181,domestic,2020-05-06
seq_157130,intl_source,2020-05-13
seq_152344,domestic,2020-05-15
seq_54177,intl_source,2020-04-28
seq_131186,intl_source,2020-05-25
seq_135417,domestic,2020-05-22
seq_112355,intl_source,2020-06-08
seq_10484,domestic,2020-06-21
seq_94026,domestic,2020-03-30
seq_72157,domestic,2020-04-20
seq_87463,domestic,2020-04-08
seq_65054,domestic,2020-04-23
seq_143664,domestic,2020-05-19
seq_31655,domestic,2020-05-06
seq_137796,domestic,2020-05-21
seq_1847,domestic,2020-05-11
seq_36815,intl_source,2020-05-04
seq_6082,domestic,2020-04-25
seq_106127,intl_source,2020-06-18
seq_20865,domestic,2020-05-10
seq_150829,domestic,2020-05-16
seq_44641,domestic,2020-05-01
seq_158052,domestic,2020-05-13
seq_113063,domestic,2020-06-08
seq_80900,intl_source,2020-04-14
seq_106091,intl_source,2020-06-18
seq_20916,domestic,2020-05-10
seq_69211,intl_source,2020-04-21
seq_59708,domestic,2020-04-26
seq_119411,domestic,2020-06-02
seq_137111,intl_source,2020-05-22
seq_87658,intl_source,2020-04-08
seq_121437,domestic,2020-05-31
seq_92204,domestic,2020-04-02
seq_145859,domestic,2020-05-18
seq_70263,intl_source,2020-04-21
seq_12627,intl_source,2020-05-28
seq_100913,domestic,2020-07-08
seq_4818,intl_source,2020-04-30
seq_129800,intl_source,2020-05-25
seq_104025,intl_source,2020-06-24
seq_71726,domestic,2020-04-20
seq_27323,domestic,2020-05-08
seq_19247,intl_source,2020-05-11
seq_28038,domestic,2020-05-08
seq_106921,domestic,2020-06-17
seq_59291,intl_source,2020-04-26
seq_71824,domestic,2020-04-20
seq_71119,intl_source,2020-04-20
seq_73828,intl_source,2020-04-19
seq_127005,domestic,2020-05-27
seq_102276,domestic,2020-06-30
seq_43145,domestic,2020-05-02
seq_70534,domestic,2020-04-21
seq_157005,domestic,2020-05-13
seq_59120,domestic,2020-04-26
seq_20151,intl_source,2020-05-10
seq_160365,domestic,2020-05-12
seq_101200,domestic,2020-07-06
seq_121488,domestic,2020-05-31
seq_129082,intl_source,2020-05-26
seq_83776,domestic,2020-04-12
seq_21595,domestic,2020-05-10
seq_30555,domestic,2020-05-07
seq_59984,domestic,2020-04-25
seq_131970,intl_source,2020-05-24
seq_79896,intl_source,2020-04-15
seq_126924,domestic,2020-05-27
seq_93238,domestic,2020-03-31
seq_76295,domestic,2020-04-17
seq_117611,domestic,2020-06-03
seq_90728,intl_source,2020-04-04
seq_116953,domestic,2020-06-04
seq_122070,domestic,2020-05-30
seq_72219,domestic,2020-04-20
seq_150563,domestic,2020-05-16
seq_21958,domestic,2020-05-10
seq_127876,domestic,2020-05-27
seq_97125,intl_source,2020-03-21
seq_71393,intl_source,2020-04-20
seq_8925,domestic,2020-04-06
seq_149176,intl_source,2020-05-16
seq_134285,intl_source,2020-05-23
seq_25331,domestic,2020-05-08
seq_96373,intl_source,2020-03-24
seq_139868,intl_source,2020-05-20
seq_77677,intl_source,2020-04-16
seq_154204,intl_source,2020-05-14
seq_111129,intl_source,2020-06-10
seq_23209,intl_source,2020-05-09
seq_107546,domestic,2020-06-15
seq_155139,intl_source,2020-05-14
seq_55512,intl_source,2020-04-27
seq_144210,domestic,2020-05-18
seq_30623,domestic,2020-05-07
seq_1219,domestic,2020-05-31
seq_26202,intl_source,2020-05-08
seq_107530,domestic,2020-06-15
seq_119922,domestic,2020-06-01
seq_8763,domestic,2020-04-08
seq_128796,intl_source,2020-05-26
seq_67973,intl_source,2020-04-22
seq_12583,intl_source,2020-05-28
seq_9433,domestic,2020-03-29
seq_59053,domestic,2020-04-26
seq_72621,intl_source,2020-04-19
seq_14986,intl_source,2020-05-16
seq_157827,intl_source,2020-05-13
seq_45871,domestic,2020-05-01
seq_100227,domestic,2020-07-14
seq_107324,domestic,2020-06-16
seq_54440,intl_source,2020-04-28
seq_141786,intl_source,2020-05-19
seq_99786,domestic,2020-02-21
seq_107517,intl_source,2020-06-15
seq_104617,Imports,2020-06-22
seq_23157,domestic,2020-05-09
seq_2786,intl_source,2020-05-08
seq_41309,domestic,2020-05-03
seq_72351,Imports,2020-04-20
seq_114431,Imports,2020-06-06
seq_20751,intl_source,2020-05-10
seq_142502,domestic,2020-05-19
seq_78577,intl_source,2020-04-16
seq_137697,domestic,2020-05-21
seq_21843,intl_source,2020-05-10
seq_45315,intl_source,2020-05-01
seq_144420,domestic,2020-05-18
seq_72347,domestic,2020-04-20
seq_122997,domestic,2020-05-30
seq_76378,Imports,2020-04-17
seq_110173,intl_source,2020-06-11
seq_115479,intl_source,2020-06-05
seq_18900,domestic,2020-05-11
seq_118222,intl_source,2020-06-03
seq_72018,intl_source,2020-04-20
seq_146053,domestic,2020-05-18
seq_95913,domestic,2020-03-25
seq_57625,intl_source,2020-04-26
seq_19986,domestic,2020-05-10
seq_43564,domestic,2020-05-02
seq_66939,domestic,2020-04-22
seq_134042,domestic,2020-05-23
seq_156541,domestic,2020-05-13
seq_85654,intl_source,2020-04-10
seq_9472,domestic,2020-03-28
seq_90694,domestic,2020-04-04
seq_5518,domestic,2020-04-27
seq_9613,intl_source,2020-03-25
