label,deme,Date
leaf_4054,Deme_1,2020-05-03
leaf_112155,Deme_1,2020-06-09
leaf_63537,Deme_2,2020-04-24
leaf_145155,Deme_2,2020-05-18
leaf_155190,Deme_2,2020-05-14
leaf_1507,Deme_1,2020-05-16
leaf_28233,Deme_2,2020-05-07
leaf_70348,Deme_1,2020-04-21
leaf_96401,Deme_1,2020-03-24
leaf_131144,Deme_1,2020-05-25
leaf_160218,Deme_2,2020-05-12
leaf_67016,Deme_2,2020-04-22
leaf_110979,Deme_2,2020-06-10
leaf_128089,Deme_2,2020-05-26
leaf_34791,Deme_1,2020-05-05
leaf_24197,Deme_2,2020-05-09
leaf_37284,Deme_2,2020-05-04
leaf_155617,Deme_2,2020-05-14
leaf_22571,Deme_1,2020-05-10
leaf_23080,Deme_2,2020-05-09
leaf_98408,Deme_1,2020-03-14
leaf_30045,Deme_2,2020-05-07
leaf_71373,Deme_2,2020-04-20
leaf_55639,Deme_2,2020-04-27
leaf_117046,Deme_1,2020-06-04
leaf_113361,Deme_1,2020-06-07
leaf_69711,Deme_1,2020-04-21
leaf_13733,Deme_1,2020-05-22
leaf_94063,Deme_1,2020-03-30
leaf_144055,Deme_2,2020-05-18
leaf_185,Deme_1,2020-08-10
leaf_102993,Deme_1,2020-06-27
leaf_17162,Deme_2,2020-05-11
leaf_157984,Deme_2,2020-05-13
leaf_145872,Deme_1,2020-05-18
leaf_60161,Deme_1,2020-04-25
leaf_123442,Deme_1,2020-05-29
leaf_113021,Deme_1,2020-06-08
leaf_136141,Deme_2,2020-05-22
leaf_157157,Deme_1,2020-05-13
leaf_76089,Deme_2,2020-04-17
leaf_83490,Deme_1,2020-04-12
leaf_78966,Deme_1,2020-04-15
leaf_110991,Deme_1,2020-06-10
leaf_66386,Deme_2,2020-04-23
leaf_6480,Deme_2,2020-04-23
leaf_63688,Deme_2,2020-04-24
leaf_88366,Deme_1,2020-04-07
leaf_74676,Deme_2,2020-04-18
leaf_38983,Deme_2,2020-05-04
leaf_96101,Deme_1,2020-03-25
leaf_142521,Deme_2,2020-05-19
leaf_66018,Deme_2,2020-04-23
leaf_3589,Deme_1,2020-05-05
leaf_84480,Deme_2,2020-04-11
leaf_91160,Deme_1,2020-04-04
leaf_154030,Deme_2,2020-05-14
leaf_103628,Deme_1,2020-06-25
leaf_24030,Deme_1,2020-05-09
leaf_36704,Deme_1,2020-05-04
leaf_137594,Deme_1,2020-05-21
leaf_67572,Deme_1,2020-04-22
leaf_107439,Imports,2020-06-16
leaf_144958,Deme_1,2020-05-18
leaf_24638,Deme_1,2020-05-09
leaf_113657,Deme_2,2020-06-07
leaf_91982,Deme_1,2020-04-03
leaf_6636,Deme_2,2020-04-23
leaf_9210,Deme_1,2020-04-02
leaf_79338,Deme_2,2020-04-15
leaf_128344,Deme_2,2020-05-26
leaf_144179,Deme_2,2020-05-18
leaf_71386,Deme_1,2020-04-20
leaf_31181,Deme_2,2020-05-06
leaf_157130,Deme_1,2020-05-13
leaf_152344,Deme_2,2020-05-15
leaf_54177,Deme_1,2020-04-28
leaf_131186,Deme_1,2020-05-25
leaf_135417,Deme_2,2020-05-22
leaf_112355,Deme_1,2020-06-08
leaf_10484,Deme_2,2020-06-21
leaf_94026,Deme_2,2020-03-30
leaf_72157,Deme_2,2020-04-20
leaf_87463,Deme_2,2020-04-08
leaf_65054,Deme_2,2020-04-23
leaf_143664,Deme_2,2020-05-19
leaf_31655,Deme_2,2020-05-06
leaf_137796,Deme_2,2020-05-21
leaf_1847,Deme_2,2020-05-11
leaf_36815,Deme_1,2020-05-04
leaf_6082,Deme_2,2020-04-25
leaf_106127,Deme_1,2020-06-18
leaf_20865,Deme_2,2020-05-10
leaf_150829,Deme_2,2020-05-16
leaf_44641,Deme_2,2020-05-01
leaf_158052,Deme_2,2020-05-13
leaf_113063,Deme_2,2020-06-08
leaf_80900,Deme_1,2020-04-14
